time,mean,median,std,q025,q25,q75,q975
0,-0.6369999999999999,-0.65,0.09100000000000003,-0.65,-0.65,-0.65,-0.65
1,-0.5901960783994297,-0.65,0.3382363741835128,-0.65,-0.65,-0.65,-0.14625000000000093
2,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
3,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
4,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
5,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
6,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
7,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
8,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
9,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
10,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
11,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
12,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
13,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
14,-0.65,-0.65,0.0,-0.65,-0.65,-0.65,-0.65
